run_name,rank,role,phase,total_s,avg_per_step_s
baseline_b1,0,stage0,grad_sync_stage0,0.656035,0.218678
baseline_b1,0,stage0,optimizer_step,0.014614,0.004871
baseline_b1,0,stage0,prepare_views,0.401434,0.133811
baseline_b1,0,stage0,recv_boundary_grad,1.142424,0.380808
baseline_b1,0,stage0,send_boundary,0.027361,0.009120
baseline_b1,0,stage0,stage0_backward,0.800823,0.266941
baseline_b1,0,stage0,stage0_forward,0.620566,0.206855
baseline_b1,1,stage1,gather_embeddings,0.026471,0.008824
baseline_b1,1,stage1,grad_sync_stage1,1.237121,0.412374
baseline_b1,1,stage1,loss_backward,0.586298,0.195433
baseline_b1,1,stage1,loss_calculation,0.008194,0.002731
baseline_b1,1,stage1,optimizer_step,0.122157,0.040719
baseline_b1,1,stage1,recv_boundary,1.221761,0.407254
baseline_b1,1,stage1,send_boundary_grad,0.012107,0.004036
baseline_b1,1,stage1,stage1_forward,0.193458,0.064486
baseline_b1,2,stage0,grad_sync_stage0,0.265099,0.088366
baseline_b1,2,stage0,optimizer_step,0.012410,0.004137
baseline_b1,2,stage0,prepare_views,0.302709,0.100903
baseline_b1,2,stage0,recv_boundary_grad,1.574609,0.524870
baseline_b1,2,stage0,send_boundary,0.006606,0.002202
baseline_b1,2,stage0,stage0_backward,0.890096,0.296699
baseline_b1,2,stage0,stage0_forward,0.640430,0.213477
baseline_b1,3,stage1,gather_embeddings,0.141716,0.047239
baseline_b1,3,stage1,grad_sync_stage1,0.971270,0.323757
baseline_b1,3,stage1,loss_backward,0.870210,0.290070
baseline_b1,3,stage1,loss_calculation,0.020538,0.006846
baseline_b1,3,stage1,optimizer_step,0.199977,0.066659
baseline_b1,3,stage1,recv_boundary,0.954223,0.318074
baseline_b1,3,stage1,send_boundary_grad,0.010129,0.003376
baseline_b1,3,stage1,stage1_forward,0.279465,0.093155
